date;budgetYear;description;amountUSD;srcOrganization;srcOrganizationTypes;srcLocations;srcUsageYearStart;srcUsageYearEnd;destPlan;destPlanCode;destPlanId;destOrganization;destOrganizationTypes;destGlobalClusters;destLocations;destProject;destProjectCode;destEmergency;destUsageYearStart;destUsageYearEnd;contributionType;flowType;method;boundary;onBoundary;status;firstReportedDate;decisionDate;keywords;originalAmount;originalCurrency;exchangeRate;id;refCode;createdAt;updatedAt;;
#date;#date+year+budget;#description+notes;#value+funding+total+usd;#org+name+funder;#org+type+funder+list;#country+iso3+funder+list;#date+year+start+funder;#date+year+end+funder;#activity+appeal+name;#activity+appeal+id+external;#activity+appeal+id+fts_internal;#org+name+impl;#org+type+impl+list;#sector+cluster+name+list;#country+iso3+impl+list;#activity+project+name;#activity+project+code;#crisis+name;#date+year+start+impl;#date+year+end+impl;#financial+contribution+type;#financial+contribution+type;#financial+method;#financial+direction;#financial+direction+type;#status+text;#date+reported;#date+decision;#description+keywords;#value+funding+total;#value+funding+total+currency;#financial+fx;#activity+id+fts_internal;#activity+code;#date+created;#date+updated;;
18/04/2024;;Provision of integrated, quality life-saving sexual and reproductive health and gender-based violence response and prevention among the most vulnerable population in North Kordofan, South Kordofan, North Darfur, East Darfur, South Darfur and West Darfur;1435000;Central Emergency Response Fund;Pooled Funds;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;United Nations Population Fund;Multilateral Organizations;Health;SDN;Provision of Lifesaving SRHR services for most vulnerable and in-need population, Sudan, 2024;HSDN24-HEA-209066-1;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;17/04/2024;;Underfunded;;;;305764;24-UF-FPA-004;19/04/2024;19/04/2024;;
18/04/2024;;Provision of integrated, quality life-saving sexual and reproductive health and gender-based violence response and prevention among the most vulnerable population in North Kordofan, South Kordofan, North Darfur, East Darfur, South Darfur and West Darfur;2065000;Central Emergency Response Fund;Pooled Funds;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;United Nations Population Fund;Multilateral Organizations;Protection - Gender-Based Violence;SDN;Strengthening GBV prevention mechanisms and providing comprehensive life-saving interventions for populations in need in Sudan;HSDN24-PRO-209365-1;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;17/04/2024;;Underfunded;;;;305765;24-UF-FPA-004;19/04/2024;19/04/2024;;
18/04/2024;2024;Preserving critical Health and WASH services through ensuring availability of life saving supplies for the most vulnerable children and their families in the hard-to-reach areas;0;Central Emergency Response Fund;Pooled Funds;;2024;2024;;;;United Nations Children's Fund;Multilateral Organizations;;SDN;;;;2024;2024;financial;Parked;Traditional aid;incoming;single;paid;17/04/2024;16/04/2024;Underfunded;;;;305766;24-UF-CEF-016;19/04/2024;09/05/2024;;
18/04/2024;;Preserving critical Health and WASH services through ensuring availability of life saving supplies for the most vulnerable children and their families in the hard-to-reach areas;1015000;Central Emergency Response Fund;Pooled Funds;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;United Nations Children's Fund;Multilateral Organizations;Health;SDN;Health Emergency Response with Provision of Quality Life-Saving Health Services to The Children and Mothers in Hot Spot Areas in Sudan 2024;HSDN24-HEA-209463-1;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;17/04/2024;;Underfunded;;;;305767;24-UF-CEF-016;19/04/2024;09/05/2024;;
18/04/2024;;Preserving critical Health and WASH services through ensuring availability of life saving supplies for the most vulnerable children and their families in the hard-to-reach areas;2485000;Central Emergency Response Fund;Pooled Funds;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;United Nations Children's Fund;Multilateral Organizations;Water Sanitation Hygiene;SDN;WASH Integrated Humanitarian Lifesaving Response for armed conflict, epidemics and natural disasters affected population. ;HSDN24-WSH-209158-1;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;17/04/2024;;Underfunded;;;;305768;24-UF-CEF-016;19/04/2024;09/05/2024;;
18/04/2024;2024;Provision of Protection Services and Site Management Support to Forcibly Displaced People;0;Central Emergency Response Fund;Pooled Funds;;2024;2024;;;;United Nations High Commissioner for Refugees;Multilateral Organizations;;SDN;;;;2024;2024;financial;Parked;Traditional aid;incoming;single;paid;17/04/2024;16/04/2024;Underfunded;;;;305771;24-UF-HCR-005;19/04/2024;19/04/2024;;
18/04/2024;;Provision of Protection Services and Site Management Support to Forcibly Displaced People;3185000;Central Emergency Response Fund;Pooled Funds;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;United Nations High Commissioner for Refugees;Multilateral Organizations;Protection;SDN;Protection Support for Internally Displaced and Returnees in Sudan;HSDN24-PRO-209390-1;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;17/04/2024;;Underfunded;;;;305772;24-UF-HCR-005;19/04/2024;19/04/2024;;
18/04/2024;;Provision of Protection Services and Site Management Support to Forcibly Displaced People;315000;Central Emergency Response Fund;Pooled Funds;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;United Nations High Commissioner for Refugees;Multilateral Organizations;Camp Coordination / Management;SDN;Site Management Support for Internally Displaced in Sudan;HSDN24-CCM-209345-1;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;17/04/2024;;Underfunded;;;;305773;24-UF-HCR-005;19/04/2024;19/04/2024;;
16/04/2024;2024;Provision of integrated, quality life-saving sexual and reproductive health and gender-based violence response and prevention among the most vulnerable population in North Kordofan, South Kordofan, North Darfur, East Darfur, South Darfur and West Darfur;0;Central Emergency Response Fund;Pooled Funds;;2024;2024;;;;United Nations Population Fund;Multilateral Organizations;;SDN;;;;2024;2024;financial;Parked;Traditional aid;incoming;single;commitment;17/04/2024;16/04/2024;Underfunded;;;;305763;24-UF-FPA-004;19/04/2024;19/04/2024;;
12/04/2024;2024;Switzerland Contribution to Sudan Humanitarian Fund (SUHF) (SUHF) 2024;1103753;Switzerland, Government of;Governments;CHE;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;Sudan Humanitarian Fund;Pooled Funds;;SDN;;;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;commitment;16/04/2024;12/04/2024;;1000000;CHF;0.906;305588;OCT/CHE/2024/76216/OCHA(CBPF-OCHA)/SDN/82831 7F-09054.08 / 81080246 - Amend 1;16/04/2024;09/05/2024;;
